--答题题目配置
QuestionClass= 
{  
   --(qt表示问题，ra表示正确答案，wa表示错误答案)
qt0001="博士作为官名最早出现在哪个朝代？",ra0001="秦",wa0001="唐",
qt0002="《在那遥远的地方》是哪里的民歌？",ra0002="青海民歌",wa0002="四川民歌",
qt0003="人体含水量百分比最高的器官是以下哪个？",ra0003="眼球",wa0003="肾",
qt0004="人体最大的解毒器官是以下哪个？",ra0004="肝脏",wa0004="肾脏",
qt0005="土豆不宜存放在什么地方？",ra0005="日光照射处",wa0005="干燥处",
qt0006="什么时间吃水果比较好？",ra0006="饭前食用",wa0006="饭后食用",
qt0007="神仙掌进行光合作用是依靠哪个部位？",ra0007="叶",wa0007="茎",
qt0008="以下哪一类茶是半发酵茶？",ra0008="乌龙茶",wa0008="花茶",
qt0009="吃太多手摇爆米花机爆出的米花会导致什么中毒？",ra0009="铅中毒",wa0009="铬中毒",
qt0010="竹子是哪一类植物？",ra0010="草",wa0010="树",
qt0011="狗热时用什么散热？",ra0011="舌头",wa0011="皮肤",
qt0012="苹果中含有增强记忆力的微量元素是以下哪种？",ra0012="锌",wa0012="铁",
qt0013="树干为什么经常刷成白色？",ra0013="灭菌",wa0013="防牲口啃食",
qt0014="洗鱼后手上有腥味用下列哪种东西可以去除？",ra0014="牙膏",wa0014="奶粉",
qt0015="相传我国古代能作“掌上舞”的人是以下哪位？",ra0015="赵飞燕",wa0015="貂蝉",
qt0016="数学符号中的“0”起源于哪个国家？",ra0016="古印度",wa0016="古希腊",
qt0017="馒头起源于中国哪里？",ra0017="南方",wa0017="北方",
qt0018="感冒忌用下列哪一种食物？",ra0018="海鱼",wa0018="豆浆",
qt0019="饮酒对人体的哪些器官最为有害？",ra0019="心脏",wa0019="肺",
qt0020="苹果中含有增强记忆力的微量元素是哪种？",ra0020="锌",wa0020="铁",
qt0021="低盐饮食有利于预防什么疾病？",ra0021="高血压",wa0021="贫血",
qt0022="理发吹风前，在头上喷一点什么 ，洗烫的发式样能长久保持？",ra0022="醋",wa0022="洒精",
qt0023="自然界中，有“智慧元素”之称的是以下哪种元素？",ra0023="碘",wa0023="锌",
qt0024="出现食物中毒症状或者误食化学品时，最先采取的急救措施是以下哪种？",ra0024="催吐",wa0024="吃止泻药物",
qt0025="下列哪个试剂可用于除去圆珠笔痕迹？",ra0025="丙酮",wa0025="酒精",
qt0026="下列食品中，最易霉变产生黄曲霉素的是哪种？",ra0026="花生",wa0026="土豆",
qt0027="煮鸡蛋时不宜用以下哪种容器？",ra0027="银制容器",wa0027="不锈钢制容器",
qt0028="下列元素中的什么污染大气或饮水时，可引起人的牙齿骨质疏松？",ra0028="氟",wa0028="汞",
qt0029="牛奶可跟以下哪种物质一起食用？",ra0029="面包",wa0029="鸡蛋",
qt0030="下面哪个物质可同胡萝卜同食？",ra0030="海味",wa0030="酒",
qt0031="在生活中常说的“五金” 不包括下列哪种金属？",ra0031="锌",wa0031="锡",
qt0032="以下哪种水果核可以食用？",ra0032="苹果核",wa0032="苦杏仁核",
qt0033="钢是由什么组成的？",ra0033="铁、碳",wa0033="铁、锡",
qt0034="长期使用铝制品作为食品容器会引发下列哪种疾病？",ra0034="老年痴呆症",wa0034="甲状腺肿大",
qt0035="废电池乱丢对人体可能造成什么影响？",ra0035="镉中毒",wa0035="氰中毒",
qt0036="以下食品中铅含量最高的是哪一种？",ra0036="松花蛋",wa0036="黄瓜",
qt0037="以下哪种食品中所含致癌物质最多？",ra0037="烤羊肉串",wa0037="水煮鱼",
qt0038="科学研究表明，室外锻炼最佳时间是什么时候？",ra0038="下午或傍晚",wa0038="早晨、傍晚",
qt0039="复印机在复印过程中会产生什么从而损害人体健康？",ra0039="臭氧",wa0039="二氧化硫",
qt0040="塑料在自然界可停留多久？",ra0040="100—200年",wa0040="50年",
qt0041="电脑显示器的哪个部位辐射最强？",ra0041="背面",wa0041="正面",
qt0042="可放在室内用来净化空气？",ra0042="吊兰",wa0042="郁金香",
qt0043=" 狂犬病的主要表现为以下哪一种？",ra0043="高度兴奋",wa0043="食欲下降",
qt0044="优质食用油不应有的特征是？",ra0044="油色发暗",wa0044="没有沉淀物",
qt0045="肌体缺乏哪种维生素，对光暗适应能力将降低，最终导致夜盲症？",ra0045="维生素A",wa0045="维生素B ",
qt0046="杨梅与哪种食物一起食用，可产生抑制甲状腺功能的物质，诱发甲状腺肿？",ra0046="萝卜",wa0046="红薯",
qt0047="便秘患者应该不食或少食哪种食物？",ra0047="糖类食物 ",wa0047="豆类食物",
qt0048="栗子虽能健脾养胃却较难消化，什么患者应该忌食？",ra0048="腹涨",wa0048="便秘",
qt0049="下列哪类食物为酸性食物？",ra0049="鸡蛋",wa0049="牛奶",
qt0050="谷类、薯类是我国膳食能量的主要来源，但其主要的缺陷是缺乏什么？",ra0050="优质蛋白质",wa0050="碳水化合物",
qt0051="海洋中哪一个是我国最大的海？",ra0051="南海",wa0051="东海",
qt0052="下列哪一个湖泊是在我国江西省的境内？",ra0052="鄱阳湖",wa0052="洪泽湖",
qt0053="下列我国名茶中哪一种是产于福建安溪？",ra0053="铁观音",wa0053="碧螺春",
qt0054="吉林省抚松县被人们称为是哪种药材之乡？",ra0054="人参",wa0054="当归",
qt0055="石头城是对我国哪座城市的美称？",ra0055="南京",wa0055="拉萨",
qt0056="“山城”是我国哪座城市的雅号？",ra0056="重庆",wa0056="西安",
qt0057="峨眉山位于我国哪个省份？",ra0057="四川",wa0057="贵州",
qt0058="我国面积最大的湖泊是",ra0058="青海湖",wa0058="洞庭湖",
qt0059="“鲁”是我国哪个省份的简称？",ra0059="山东",wa0059="吉林",
qt0060="下列哪个不是以人名命名的首都？",ra0060="莫斯科",wa0060="巴黎",
qt0061="下列河流哪一条是世界流程最长？",ra0061="尼罗河",wa0061="亚马孙河",
qt0062="世界最大的内陆国是以下哪个国家？",ra0062="蒙古",wa0062="阿富汗",
qt0063="下列哪个岛国不是欧洲国家？",ra0063="马尔代夫",wa0063="爱尔兰",
qt0064="下列哪个国家被称为“袋鼠之国”？",ra0064="澳大利亚",wa0064="新西兰",
qt0065="世界国土面积最小的国家是以下哪个？",ra0065="梵蒂冈",wa0065="摩纳哥",
qt0066="世界石油储量最多是哪一个国家？",ra0066="沙特阿拉伯",wa0066="伊朗",
qt0067="下列哪一个城市不是我国的“三大火炉”(高温)之一？",ra0067="成都",wa0067="重庆",
qt0068="请问：火车连续发出两声长鸣，这表示什么意思？",ra0068="倒退",wa0068="故障",
qt0069="轮船发出六声短笛，这是表示什么呢？",ra0069="遇险",wa0069="避让",
qt0070="下列著名宫殿哪个位于英国？",ra0070="白金汉宫",wa0070="凡尔赛宫",
qt0071="著名风景区九寨沟位于我国哪个省？",ra0071="四川",wa0071=" 广西",
qt0072="下列哪座山不属于我国四大佛山之一？",ra0072="雁荡山",wa0072="五台山",
qt0073="我国最大的佛像是哪一座？",ra0073="荣成大佛",wa0073="屏山大佛",
qt0074="我国现有四大古桥，其中哪座位于广东潮州？",ra0074="湘子桥",wa0074="芦构桥",
qt0075="世界上现存最大的佛教艺术宝库是以下哪个？",ra0075="敦煌石窟",wa0075="云冈石窟",
qt0076="下列哪一座寺院位于南京市？",ra0076="栖霞寺",wa0076="玉泉寺",
qt0077="下列我国哪个古迹被誉为“世界八大奇迹”？",ra0077="秦始皇兵马俑",wa0077="万里长城",
qt0078="我国四大名亭中哪一座亭名是毛泽东题的？",ra0078=" 爱晚亭",wa0078="醉翁亭",
qt0079="下列我国名泉中哪一眼位于杭州？",ra0079="虎跑泉",wa0079="趵突泉",
qt0080="我国第一座国家森林公园是",ra0080="张家界",wa0080="九寨沟",
qt0081="下列名关哪一座被称为“天下第一关”？",ra0081="山海关",wa0081="潼门关",
qt0082="美国“自由女神”座落在哪个城市？",ra0082="纽约",wa0082="洛杉机",
qt0083="下列著名建筑物哪个不属于法国？",ra0083="比萨斜塔",wa0083="卢浮宫",
qt0084="格林尼威天文台位于哪个城市？",ra0084="伦敦",wa0084="华盛顿",
qt0085="你知道世界最高的塔是哪一座？",ra0085="多伦多塔",wa0085="莫斯科塔",
qt0086="我国古代项羽“破釜沉舟”战胜秦军是在哪次战役？",ra0086="巨鹿之战",wa0086="官渡之战",
qt0087="下列哪次古代著名战役确立了三国鼎立局面？",ra0087="赤壁之战",wa0087="官渡之战",
qt0088="和平解放北平是在解放战争三大战役中哪一次？",ra0088="平津战役",wa0088="淮海战役",
qt0089="我国进行抗美援朝是在哪一年？",ra0089="1950年10月1日",wa0089="1951年10月1日",
qt0090="我国抗日战争期间八路军的总指挥是",ra0090="朱德",wa0090=" 彭德怀",
qt0091="下列我国军事家中哪位不是“十大元帅”之一？",ra0091="毛泽东",wa0091="叶剑英",
qt0092="人民解放军第一位女将军是以下哪位？",ra0092="李贞",wa0092="邓颖超",
qt0093="我国现存最早的兵书是什么？",ra0093="《孙子兵法》",wa0093="《吴子》",
qt0094="比喻变被动为主动是“三十六计”中的哪一计？",ra0094="反客为主",wa0094="声东击西",
qt0095="第二次世界大战中死亡人数最多的国家是哪个国家？",ra0095="前苏联",wa0095="中国",
qt0096="二战后，被处死的日本甲级战犯中哪位时任内阁首相？",ra0096="东条英机",wa0096="广田弘毅",
qt0097="下列哪个主权国家中没有军队？",ra0097="安道尔",wa0097="海地",
qt0098="美国军用飞机编号“F”的含义是指哪类型飞机？",ra0098="战斗机",wa0098="轰炸机",
qt0099="我国古代“十八般武艺”中第十八是”白打”意思是什么？",ra0099="徒手搏斗",wa0099="打空拳",
qt0100="下列火炮哪一种主要是作防空武器？",ra0100="高射炮",wa0100="加农炮",
qt0101="洲际导弹的射程一般在多少公里以上？",ra0101="一万",wa0101="一千",
qt0102="我国有一个专门进行核试验的“原子城”，它位于哪个省？",ra0102="新疆",wa0102="内蒙古",
qt0103="下列三类导弹中哪一种飞行高度较低，隐蔽性强？",ra0103="飞航式导弹",wa0103="弹道式导弹",
qt0104="我国卫星火箭发射基地“西昌”位于哪里？",ra0104="四川",wa0104="青海",
qt0105="称得上火炮的口径需在多少毫米以上？",ra0105="20毫米",wa0105="50毫米",
qt0106="枪弹的用途不同，弹头的颜色各异，燃烧弹弹头是什么颜色？",ra0106="红色",wa0106="黄色",
qt0107="“粒子束武器“是指什么武器？",ra0107="X射线激光武器",wa0107="微波武器",
qt0108="美国第七舰队主要驻扎在哪里？",ra0108="西太平洋",wa0108="东太平洋",
qt0109="二战时，日本偷袭美国珍珠港是在哪一年？",ra0109="1941年12月1日",wa0109="1942年12月1日",
qt0110="下列将军中哪一位不是大将？",ra0110="许世友",wa0110="徐海东",
qt0111="新中国哪一年开始进行军衔授勋？",ra0111="1955年",wa0111="1950年",
qt0112="下列哪一个城市是在1949年10月建国后才解放的？",ra0112="广州",wa0112="西安",
qt0113="古代军事家曹操是哪个时期的人物？",ra0113="东汉",wa0113=" 南北朝",
qt0114="信号弹白天也可以发射，只是要用什么样的信号颜色？",ra0114="红色",wa0114="白色",
qt0115="下列哪一种是舰艇装备最广泛的主力战舰？",ra0115="护卫舰",wa0115="巡洋舰",
qt0116="按吨位分，多少吨位才可算是大型航空母舰？",ra0116="六万吨",wa0116="十万吨",
qt0117="防弹衣是由什么材料制成的？",ra0117="陶瓷玻璃钢",wa0117="钨合金钢",
qt0118="我国军队中一个连辖3-4个排，大约有多少人？",ra0118="100-120人",wa0118="120-150人",
qt0119="成语“闻鸡起舞”“中流击楫”是出自哪们古代将领的故事？",ra0119="祖逖",wa0119="戚继光",
qt0120="左轮手枪一共可装几颗子弹？",ra0120="6颗",wa0120="8颗",
qt0121="目前世界纪元（公元前后的划分）的方法是以什么为标准？",ra0121="耶稣基督教",wa0121="伊斯兰教",
qt0122="下列世界奇迹哪个位于伊拉克？",ra0122="空中花园 ",wa0122="太阳神像",
qt0123="第一次世界大战开始的时间是哪一年？",ra0123="1914年",wa0123="1910年",
qt0124="下列四个著名代号哪个是二战时日本偷袭珍珠港的代号？",ra0124="托拉",wa0124="宝石",
qt0125="美国第一任总统是谁？",ra0125="华盛顿",wa0125="杜鲁门",
qt0126="“人不可有傲气，但不可无傲骨”是谁的座右铭？",ra0126="徐悲鸿",wa0126="孙中山",
qt0127="有“世界船王”之称的海外炎黄子孙是指谁？",ra0127="包玉刚",wa0127="王贞治",
qt0128="第二次世界大战是哪一年爆发的？",ra0128="1939年",wa0128="1938年",
qt0129="著名史书《史记》是属于哪一类历史？",ra0129="正史",wa0129="稗史",
qt0130="史书《资治通鉴》是属于哪一类体例的历史？",ra0130="编年体",wa0130="纪传体",
qt0131="著名古迹”秦始皇兵马俑”位于我国哪个省份？",ra0131="陕西",wa0131="河南",
qt0132="我国是在哪个时期进入奴隶社会的？",ra0132="夏",wa0132="商",
qt0133="下列古都哪个被称为“六朝古都”？",ra0133="南京",wa0133="西安",
qt0134="下列农民起义哪次是洪秀全领导的？",ra0134="金田起义",wa0134="黄巾起义",
qt0135="我国封建王朝正统皇帝大约有多少人？",ra0135="约500人",wa0135="约300人",
qt0136="下列历史上的大动乱跟吴三桂有关是以下哪个历史事件？",ra0136="三藩之乱",wa0136="八王之乱",
qt0137="史书《汉书》是哪位史学家所著？",ra0137="班固",wa0137="司马光",
qt0138="下列哪位不是清末被杀害的“戊戌六君子”之一？",ra0138="康有为",wa0138="杨锐",
qt0139="中华人民共和国国旗五星红旗的设计者是谁？",ra0139="曾联松",wa0139="梁思成",
qt0140="有“中国的保尔柯察金”是誰？",ra0140="吴运铎",wa0140="董存瑞",
qt0141="宋氏三姐妹中哪位是孙中山先生的夫人？",ra0141="宋庆龄",wa0141="宋美龄",
qt0142="春秋五霸中哪位霸主最先称霸？",ra0142="齐桓公",wa0142="楚庄王",
qt0143="中国近代史第一次鸦片战争是何时开始的？",ra0143="1840年",wa0143="1856年",
qt0144="我国古代“十恶不赦”中的首恶是",ra0144="谋反",wa0144="内乱",
qt0145="猜一猜，我国古代哪个朝代的“状元”最多",ra0145="唐朝",wa0145="宋朝",
qt0146="下列古代盛世哪个是李世民统治的时期？",ra0146="贞观之治",wa0146="成康之治",
qt0147="素有“瓷都”之称的景德镇位于哪个省份？",ra0147="江西",wa0147="河南",
qt0148="标志着抗日战争爆发的芦沟桥事变是在哪一年？",ra0148="1937年",wa0148="1938年",
qt0149="下列美国总统哪一位没在被刺杀中遇难？",ra0149="罗斯福",wa0149="肯尼迪",
qt0150="马拉松长跑来源于马拉松战役，它的爆发地是哪里？",ra0150="古代希腊",wa0150="古代罗马",
qt0151="我国第一颗原子弹研制成功是在哪一年？",ra0151="1964年",wa0151="1962年",
qt0152="我国是谁最早发现了甲骨文？",ra0152="王懿荣",wa0152="顾颉刚",
qt0153="甲骨文是属于哪一类文字？",ra0153="象形文字",wa0153="表意文字",
qt0154="你知道世界语的创始人是谁吗？",ra0154="柴门霍夫",wa0154=" 奥格登",
qt0155="我国古代著名书院白鹿洞书院位于",ra0155="江西庐山",wa0155=" 河南商丘",
qt0156="中国著名大学科技大学位于哪一个城市？",ra0156="合肥",wa0156="武汉",
qt0157="成语“凿壁偷光”是出自哪位古代人物的苦学故事？",ra0157="匡衡",wa0157="车胤",
qt0158="我国第一位女留学生金雅梅当时留学于何国？",ra0158="美国",wa0158="英国",
qt0159="世界上规模最大的大学是哪所高校？",ra0159="纽约州立大学",wa0159="剑桥大学",
qt0160="著名高校剑桥大学是在哪个国家？",ra0160="英国",wa0160="美国",
qt0161="我国收入的字最多的字典是哪一部？",ra0161="《康熙字典》",wa0161="《新华字典》",
qt0162="著名通讯社路透社是哪一个国家的通讯社？",ra0162="英国",wa0162="法国",
